id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,min_nights_ratio,availability_rate,price_category
320,Sunny room in the heart of NYC,95004,Chris,Brooklyn,Bedford-Stuyvesant,40.55076,-74.04276,Entire Home/Apt,425.0,3.0,267.0,2018-08-07,6.11,16.0,19,0.00821917808219178,0.052054794520547946,Luxury
205,Quiet private room,51418,James,Brooklyn,Greenpoint,40.81243,-73.73593,Entire Home/Apt,277.0,73.5,88.0,,6.01,14.0,164,0.20136986301369864,0.44931506849315067,High
285,  Spacious 2BR  ,47380,Robert,Manhattan,Harlem,40.53507,-73.81037,Private Room,352.0,73.5,361.0,2015-07-20,2.6,5.0,294,0.20136986301369864,0.8054794520547945,Luxury
173,Quiet private room,14272,Maria,Queens,Elmhurst,40.89122,-73.96482,Private Room,310.0,73.5,247.0,,6.08,11.0,222,0.20136986301369864,0.6082191780821918,Luxury
154,Unknown,4847,James,Manhattan,Harlem,40.88121,-73.8908,Entire Home/Apt,35.0,3.0,85.0,2016-03-24,7.33,11.0,60,0.00821917808219178,0.1643835616438356,Budget
809,Quiet private room,17217,Anna,Staten Island,Stapleton,40.6311,-73.81528,Shared Room,43.0,1.0,268.0,2012-04-06,9.75,6.0,170,0.0027397260273972603,0.4657534246575342,Budget
615,Unknown,23179,Robert,Brooklyn,Bedford-Stuyvesant,40.71763,-73.70664,Entire Home/Apt,190.0,2.0,335.0,,8.48,19.0,162,0.005479452054794521,0.4438356164383562,High
743,Cozy apartment near park,21904,Lisa,Staten Island,Stapleton,40.59941,-73.85345,Private Room,371.0,1.0,15.0,2011-09-01,3.04,4.0,195,0.0027397260273972603,0.5342465753424658,Luxury
361,Quiet private room,15884,John,Manhattan,Chelsea,40.86446,-73.84643,Private Room,193.0,7.0,136.0,2015-11-06,6.87,5.0,120,0.019178082191780823,0.3287671232876712,High
505,Unknown,19892,Maria,Bronx,Mott Haven,40.89756,-74.09314,Entire Home/Apt,215.0,73.5,242.0,2013-02-02,3.61,18.0,71,0.20136986301369864,0.19452054794520549,High
659,Modern studio,89823,Anna,Brooklyn,Kensington,40.88288,-73.95551,Private Room,394.0,30.0,382.0,2014-03-11,2.28,9.0,185,0.0821917808219178,0.5068493150684932,Luxury
694,Modern studio,93702,Emma,Staten Island,St. George,40.87961,-73.94502,Shared Room,236.0,7.0,195.0,2018-03-28,1.84,14.0,159,0.019178082191780823,0.43561643835616437,High
187,Modern studio,62706,Sofia,Brooklyn,Bushwick,40.81396,-73.73739,Entire Home/Apt,381.0,5.0,259.0,,8.77,5.0,92,0.0136986301369863,0.25205479452054796,Luxury
447,Unknown,91092,Robert,Queens,Astoria,40.61538,-74.09052,Private Room,257.0,5.0,175.0,,9.07,8.0,340,0.0136986301369863,0.9315068493150684,High
683,Cozy apartment near park,83328,Maria,Manhattan,Upper West Side,40.6575,-73.80228,Entire Home/Apt,339.0,5.0,331.0,,0.38,14.0,204,0.0136986301369863,0.5589041095890411,Luxury
592,Sunny room in the heart of NYC,6027,Unknown,Brooklyn,Kensington,40.56269,-73.96587,Entire Home/Apt,402.0,30.0,322.0,,7.07,14.0,161,0.0821917808219178,0.4410958904109589,Luxury
14,Unknown,11745,Unknown,Brooklyn,Greenpoint,40.53204,-74.02567,Private Room,59.0,73.5,34.0,2014-04-07,2.47,14.0,304,0.20136986301369864,0.8328767123287671,Budget
672,Unknown,32172,Lisa,Manhattan,East Village,40.8403,-73.80083,Shared Room,326.0,7.0,323.0,2011-06-04,1.44,6.0,17,0.019178082191780823,0.04657534246575343,Luxury
410,Quiet private room,43157,Emma,Brooklyn,Kensington,40.85131,-74.01566,Private Room,314.0,73.5,162.0,2016-09-11,4.53,11.0,125,0.20136986301369864,0.3424657534246575,Luxury
55,Modern studio,52717,Robert,Manhattan,East Village,40.54607,-73.71484,Private Room,475.0,1.0,386.0,,9.8,1.0,285,0.0027397260273972603,0.7808219178082192,Luxury
703,Unknown,55511,Unknown,Staten Island,Tompkinsville,40.59847,-73.83259,Private Room,109.0,7.0,348.0,,9.14,14.0,209,0.019178082191780823,0.5726027397260274,Mid-range
427,Modern studio,65853,Anna,Staten Island,Stapleton,40.75803,-73.89634,Entire Home/Apt,228.0,30.0,265.0,2018-11-03,3.75,16.0,355,0.0821917808219178,0.9726027397260274,High
938,Cozy apartment near park,31083,John,Brooklyn,Bushwick,40.89773,-73.70846,Entire Home/Apt,46.0,5.0,368.0,,2.67,10.0,117,0.0136986301369863,0.32054794520547947,Budget
953,Sunny room in the heart of NYC,3367,Chris,Bronx,Riverdale,40.67405,-73.89768,Shared Room,457.0,1.0,295.0,2013-03-28,4.97,2.0,0,0.0027397260273972603,0.0,Luxury
610,Unknown,52543,Sofia,Bronx,Mott Haven,40.85838,-74.07912,Private Room,30.0,73.5,225.0,2017-11-16,3.03,13.0,60,0.20136986301369864,0.1643835616438356,Budget
784,Cozy apartment near park,57807,Chris,Brooklyn,Greenpoint,40.74517,-73.96123,Shared Room,735.75,5.0,145.0,,5.86,17.0,224,0.0136986301369863,0.6136986301369863,Luxury
654,Modern studio,36308,Emma,Queens,Ridgewood,40.6585,-74.03129,Entire Home/Apt,110.0,1.0,312.0,2013-06-17,6.54,8.0,213,0.0027397260273972603,0.5835616438356165,Mid-range
904,Unknown,28160,Robert,Staten Island,St. George,40.82404,-73.9153,Shared Room,84.0,1.0,56.0,2011-02-09,7.97,1.0,263,0.0027397260273972603,0.7205479452054795,Mid-range
99,Sunny room in the heart of NYC,49281,Michael,Bronx,Riverdale,40.79573,-73.98031,Private Room,257.0,5.0,259.0,,5.63,11.0,243,0.0136986301369863,0.6657534246575343,High
771,Cozy apartment near park,37630,Maria,Bronx,Mott Haven,40.60789,-73.9055,Entire Home/Apt,344.0,1.0,126.0,2017-04-08,6.1,4.0,88,0.0027397260273972603,0.2410958904109589,Luxury
930,Unknown,44778,Maria,Bronx,Concourse,40.81957,-73.74965,Private Room,430.0,1.0,324.0,2013-11-07,2.9,20.0,55,0.0027397260273972603,0.1506849315068493,Luxury
755,  Spacious 2BR  ,66807,James,Staten Island,Tompkinsville,40.58662,-73.93576,Shared Room,390.0,1.0,350.0,,7.81,6.0,259,0.0027397260273972603,0.7095890410958904,Luxury
47,Unknown,64483,Robert,Bronx,Fordham,40.8737,-73.8969,Shared Room,467.0,1.0,144.0,,4.9,12.0,76,0.0027397260273972603,0.20821917808219179,Luxury
511,Unknown,13763,Unknown,Bronx,Concourse,40.62344,-73.70778,Entire Home/Apt,0.0,3.0,203.0,2019-04-11,7.26,11.0,66,0.00821917808219178,0.18082191780821918,
823,  Spacious 2BR  ,92208,Olivia,Queens,Long Island City,40.5374,-73.99987,Entire Home/Apt,151.0,73.5,274.0,,0.0,1.0,85,0.20136986301369864,0.2328767123287671,High
721,Sunny room in the heart of NYC,45713,David,Bronx,Fordham,40.52977,-73.95064,Private Room,420.0,1.0,292.0,,0.11,20.0,6,0.0027397260273972603,0.01643835616438356,Luxury
326,  Spacious 2BR  ,70615,Daniel,Staten Island,St. George,40.63092,-73.86821,Entire Home/Apt,476.0,73.5,76.0,2011-02-07,0.0,13.0,258,0.20136986301369864,0.7068493150684931,Luxury
979,Sunny room in the heart of NYC,18123,Michael,Brooklyn,Kensington,40.84095,-74.04777,Shared Room,386.0,30.0,254.0,,2.44,17.0,99,0.0821917808219178,0.27123287671232876,Luxury
866,Unknown,24651,Lisa,Brooklyn,Bedford-Stuyvesant,40.59438,-73.93797,Entire Home/Apt,-214.25,1.0,7.0,,1.44,8.0,337,0.0027397260273972603,0.9232876712328767,
257,Unknown,9302,Maria,Bronx,Concourse,40.50029,-73.84479,Shared Room,307.0,7.0,375.0,2013-01-20,7.76,18.0,122,0.019178082191780823,0.33424657534246577,Luxury
404,  Spacious 2BR  ,27975,Sarah,Brooklyn,Williamsburg,40.7281,-74.02424,Private Room,417.0,30.0,257.0,,1.81,8.0,9,0.0821917808219178,0.024657534246575342,Luxury
738,Unknown,43329,John,Manhattan,Chelsea,40.50969,-73.84284,Private Room,360.0,2.0,245.0,2011-08-01,9.5,13.0,70,0.005479452054794521,0.1917808219178082,Luxury
421,Sunny room in the heart of NYC,27263,Lisa,Bronx,Mott Haven,40.88811,-73.89293,Entire Home/Apt,257.0,1.0,29.0,,0.0,7.0,216,0.0027397260273972603,0.5917808219178082,High
837,Beautiful loft,83789,Lisa,Manhattan,Midtown,40.79009,-73.88867,Entire Home/Apt,96.0,2.0,53.0,2015-05-03,8.74,13.0,199,0.005479452054794521,0.5452054794520548,Mid-range
779,Modern studio,18813,Emma,Manhattan,Upper West Side,40.59832,-74.02994,Private Room,430.0,1.0,365.0,,7.55,1.0,34,0.0027397260273972603,0.09315068493150686,Luxury
894,Sunny room in the heart of NYC,88032,James,Staten Island,Tompkinsville,40.72821,-73.72859,Private Room,137.0,1.0,11.0,,7.79,1.0,300,0.0027397260273972603,0.821917808219178,Mid-range
271,Sunny room in the heart of NYC,64525,David,Brooklyn,Bedford-Stuyvesant,40.64409,-74.05684,Entire Home/Apt,466.0,3.0,332.0,,9.77,20.0,50,0.00821917808219178,0.136986301369863,Luxury
682,Sunny room in the heart of NYC,85237,Unknown,Staten Island,Stapleton,40.8305,-73.90486,Entire Home/Apt,83.0,73.5,289.0,,3.83,4.0,308,0.20136986301369864,0.8438356164383561,Mid-range
579,Unknown,58712,John,Staten Island,Tompkinsville,40.55089,-73.84786,Private Room,162.0,1.0,316.0,2011-04-04,0.39,19.0,350,0.0027397260273972603,0.958904109589041,High
456,Unknown,39420,Sarah,Manhattan,East Village,40.79997,-73.77633,Private Room,125.0,2.0,132.0,,1.1,3.0,325,0.005479452054794521,0.8904109589041096,Mid-range
25,Quiet private room,7582,Unknown,Staten Island,Stapleton,40.59759,-73.83758,Private Room,226.0,1.0,384.0,2012-08-07,8.04,18.0,356,0.0027397260273972603,0.9753424657534246,High
624,Cozy apartment near park,73790,Emma,Manhattan,East Village,40.58016,-74.03117,Entire Home/Apt,30.0,3.0,41.0,,4.37,12.0,125,0.00821917808219178,0.3424657534246575,Budget
753,Sunny room in the heart of NYC,51299,Michael,Staten Island,St. George,40.75409,-73.86267,Shared Room,257.0,30.0,16.0,2018-12-06,2.57,18.0,242,0.0821917808219178,0.663013698630137,High
581,Cozy apartment near park,22012,James,Queens,Elmhurst,40.50988,-73.85721,Entire Home/Apt,478.0,5.0,171.0,2017-11-12,9.43,12.0,150,0.0136986301369863,0.410958904109589,Luxury
223,Modern studio,69337,Anna,Brooklyn,Bedford-Stuyvesant,40.76743,-73.89285,Private Room,-214.25,5.0,198.0,2018-02-08,9.81,9.0,165,0.0136986301369863,0.4520547945205479,
26,Modern studio,63216,Daniel,Brooklyn,Williamsburg,40.73818,-73.71998,Private Room,257.0,30.0,313.0,,4.46,15.0,81,0.0821917808219178,0.2219178082191781,High
843,Sunny room in the heart of NYC,10994,Daniel,Staten Island,Tompkinsville,40.82922,-73.86157,Entire Home/Apt,165.0,7.0,1.0,2014-12-07,0.0,10.0,68,0.019178082191780823,0.1863013698630137,High
597,Unknown,82957,David,Queens,Elmhurst,40.52185,-73.9058,Private Room,234.0,2.0,173.0,2011-05-15,2.22,4.0,85,0.005479452054794521,0.2328767123287671,High
61,Sunny room in the heart of NYC,53640,Emma,Brooklyn,Bedford-Stuyvesant,40.6808,-74.01138,Entire Home/Apt,292.0,73.5,22.0,,9.64,14.0,31,0.20136986301369864,0.08493150684931507,High
147,Sunny room in the heart of NYC,57260,Unknown,Manhattan,Chelsea,40.76184,-73.99984,Private Room,478.0,5.0,340.0,,3.06,3.0,358,0.0136986301369863,0.9808219178082191,Luxury
109,Unknown,60634,Michael,Brooklyn,Bushwick,40.85512,-73.79206,Private Room,287.0,1.0,327.0,,2.2,20.0,68,0.0027397260273972603,0.1863013698630137,High
516,Unknown,24628,Daniel,Manhattan,Midtown,40.65971,-74.07081,Private Room,222.0,7.0,236.0,2012-06-15,6.43,4.0,238,0.019178082191780823,0.6520547945205479,High
359,Modern studio,55304,Anna,Bronx,Riverdale,40.67084,-73.96107,Shared Room,-214.25,1.0,333.0,2015-09-26,4.33,13.0,276,0.0027397260273972603,0.7561643835616438,
76,Cozy apartment near park,71748,Chris,Staten Island,Tompkinsville,40.63669,-73.79354,Entire Home/Apt,122.0,2.0,115.0,2013-03-03,8.45,17.0,51,0.005479452054794521,0.13972602739726028,Mid-range
254,Sunny room in the heart of NYC,21315,Maria,Queens,Long Island City,40.56694,-73.98956,Entire Home/Apt,252.0,1.0,202.0,2014-02-01,7.84,12.0,243,0.0027397260273972603,0.6657534246575343,High
962,Beautiful loft,91004,Lisa,Queens,Astoria,40.51102,-73.70395,Entire Home/Apt,388.0,1.0,119.0,2012-02-04,7.79,1.0,198,0.0027397260273972603,0.5424657534246575,Luxury
934,Beautiful loft,35698,James,Brooklyn,Kensington,40.8538,-73.96314,Private Room,147.0,7.0,177.0,2017-09-02,5.55,17.0,325,0.019178082191780823,0.8904109589041096,Mid-range
971,Modern studio,55264,Maria,Manhattan,Chelsea,40.51278,-74.08407,Private Room,37.0,7.0,346.0,2011-08-06,6.38,17.0,276,0.019178082191780823,0.7561643835616438,Budget
992,Unknown,74004,David,Brooklyn,Greenpoint,40.71233,-73.95749,Entire Home/Apt,92.0,1.0,72.0,2012-12-02,5.49,9.0,47,0.0027397260273972603,0.12876712328767123,Mid-range
126,Cozy apartment near park,52996,Chris,Bronx,---,40.78967,-73.89968,Private Room,434.0,5.0,27.0,2012-08-07,3.41,11.0,314,0.0136986301369863,0.8602739726027397,Luxury
180,Quiet private room,65437,David,Staten Island,Stapleton,40.85583,-73.9674,Private Room,235.0,2.0,25.0,2018-12-05,3.39,4.0,155,0.005479452054794521,0.4246575342465753,High
345,Sunny room in the heart of NYC,28504,Michael,Queens,Long Island City,40.88804,-74.03112,Private Room,335.0,3.0,14.0,2012-05-04,1.43,5.0,116,0.00821917808219178,0.3178082191780822,Luxury
105,Cozy apartment near park,31437,Unknown,Staten Island,Stapleton,40.56318,-73.83884,Private Room,311.0,30.0,244.0,2014-05-11,6.46,18.0,45,0.0821917808219178,0.1232876712328767,Luxury
545,Unknown,92686,Michael,Queens,Ridgewood,40.88359,-74.01217,Entire Home/Apt,55.0,1.0,18.0,2015-03-04,1.02,13.0,115,0.0027397260273972603,0.3150684931506849,Budget
197,Sunny room in the heart of NYC,45921,Michael,Queens,Astoria,40.8408,-73.83466,Entire Home/Apt,485.0,1.0,168.0,2016-08-20,8.79,6.0,47,0.0027397260273972603,0.12876712328767123,Luxury
759,Sunny room in the heart of NYC,35472,Daniel,Queens,Elmhurst,40.85021,-74.0516,Entire Home/Apt,154.0,1.0,44.0,2013-11-07,6.6,16.0,279,0.0027397260273972603,0.7643835616438356,High
554,Sunny room in the heart of NYC,40460,James,Staten Island,Tompkinsville,40.56932,-73.92567,Entire Home/Apt,184.0,5.0,296.0,,2.51,10.0,213,0.0136986301369863,0.5835616438356165,High
398,Unknown,20209,Sarah,Manhattan,Chelsea,40.72911,-74.04401,Shared Room,431.0,7.0,266.0,2014-11-02,0.0,14.0,184,0.019178082191780823,0.5041095890410959,Luxury
217,Beautiful loft,85663,David,Manhattan,Chelsea,40.51671,-73.87091,Entire Home/Apt,314.0,7.0,275.0,2019-10-02,7.49,17.0,176,0.019178082191780823,0.4821917808219178,Luxury
569,  Spacious 2BR  ,46908,James,Brooklyn,Bushwick,40.87175,-73.74499,Entire Home/Apt,336.0,30.0,66.0,2015-02-12,0.37,14.0,259,0.0821917808219178,0.7095890410958904,Luxury
726,Unknown,61508,Emma,Queens,Elmhurst,40.6201,-73.90437,Shared Room,275.0,73.5,381.0,,0.44,11.0,180,0.20136986301369864,0.4931506849315068,High
722,Unknown,7553,Lisa,Bronx,Riverdale,40.78166,-74.02019,Private Room,343.0,1.0,95.0,2012-03-12,4.34,3.0,351,0.0027397260273972603,0.9616438356164384,Luxury
98,Beautiful loft,69069,Anna,Brooklyn,Bushwick,40.80199,-74.02038,Private Room,257.0,73.5,205.0,2019-02-01,1.38,15.0,170,0.20136986301369864,0.4657534246575342,High
500,Modern studio,6836,Sarah,Brooklyn,Williamsburg,40.56526,-73.9673,Entire Home/Apt,486.0,1.0,124.0,2011-09-23,6.28,4.0,63,0.0027397260273972603,0.1726027397260274,Luxury
412,Quiet private room,90201,Sarah,Staten Island,St. George,40.64319,-74.02913,Shared Room,222.0,1.0,63.0,2018-06-07,0.1,12.0,10,0.0027397260273972603,0.0273972602739726,High
378,Unknown,72716,Sarah,Queens,Flushing,40.79262,-73.80627,Entire Home/Apt,261.0,73.5,66.0,,2.84,20.0,28,0.20136986301369864,0.07671232876712329,High
438,Unknown,73459,Sarah,Manhattan,East Village,40.56317,-73.74698,Entire Home/Apt,152.0,73.5,149.0,,9.02,4.0,252,0.20136986301369864,0.6904109589041096,High
942,  Spacious 2BR  ,87446,Unknown,Queens,Flushing,40.59055,-73.92019,Private Room,455.0,73.5,120.0,,1.52,18.0,57,0.20136986301369864,0.15616438356164383,Luxury
18,Quiet private room,6229,Chris,Staten Island,St. George,40.55962,-74.08559,Entire Home/Apt,482.0,5.0,298.0,,0.43,12.0,186,0.0136986301369863,0.5095890410958904,Luxury
420,Unknown,77614,James,Brooklyn,??,40.75495,-73.99749,Private Room,493.0,7.0,246.0,2018-08-03,7.97,14.0,30,0.019178082191780823,0.0821917808219178,Luxury
27,Unknown,29043,Michael,Manhattan,Upper West Side,40.78542,-74.0062,Entire Home/Apt,170.0,5.0,163.0,2019-05-02,2.32,3.0,355,0.0136986301369863,0.9726027397260274,High
723,Quiet private room,72040,Sofia,Bronx,Concourse,40.57443,-73.98477,Private Room,283.0,73.5,31.0,,0.8,19.0,101,0.20136986301369864,0.27671232876712326,High
813,  Spacious 2BR  ,34423,John,Staten Island,tyt,40.63771,-73.93819,Entire Home/Apt,452.0,73.5,210.0,2015-08-05,8.56,20.0,63,0.20136986301369864,0.1726027397260274,Luxury
373,Cozy apartment near park,18332,Anna,Queens,Elmhurst,40.73929,-73.8007,Shared Room,373.0,1.0,2.0,2015-09-20,3.03,18.0,202,0.0027397260273972603,0.5534246575342465,Luxury
774,Unknown,46243,John,Queens,Flushing,40.74017,-73.91211,Private Room,490.0,1.0,351.0,,4.53,12.0,11,0.0027397260273972603,0.030136986301369864,Luxury
400,Sunny room in the heart of NYC,54558,Lisa,Bronx,Concourse,40.71166,-73.82221,Entire Home/Apt,390.0,30.0,242.0,2011-06-12,3.7,4.0,60,0.0821917808219178,0.1643835616438356,Luxury
35,  Spacious 2BR  ,85659,Daniel,Queens,Flushing,40.72232,-73.89335,Shared Room,389.0,2.0,43.0,2014-12-14,5.56,16.0,123,0.005479452054794521,0.336986301369863,Luxury
54,Modern studio,71701,Olivia,Manhattan,Midtown,40.62357,-73.92367,Entire Home/Apt,351.0,73.5,186.0,2013-02-10,7.48,12.0,89,0.20136986301369864,0.24383561643835616,Luxury
964,Modern studio,86809,Emma,Queens,Astoria,40.77985,-74.07969,Entire Home/Apt,243.0,5.0,56.0,,9.31,19.0,177,0.0136986301369863,0.4849315068493151,High
114,Cozy apartment near park,5400,Maria,Bronx,Concourse,40.61026,-73.72504,Private Room,265.0,1.0,16.0,,2.41,15.0,34,0.0027397260273972603,0.09315068493150686,High
563,Sunny room in the heart of NYC,97029,Unknown,Queens,Ridgewood,40.84081,-74.03633,Private Room,257.0,1.0,340.0,2012-08-22,3.24,8.0,118,0.0027397260273972603,0.3232876712328767,High
141,Cozy apartment near park,49085,Daniel,Brooklyn,Williamsburg,40.61547,-73.7877,Shared Room,0.0,73.5,380.0,,5.73,18.0,137,0.20136986301369864,0.37534246575342467,
889,Unknown,71800,Robert,Manhattan,East Village,40.75614,-74.00549,Private Room,467.0,73.5,73.0,2014-11-03,3.64,7.0,125,0.20136986301369864,0.3424657534246575,Luxury
963,Beautiful loft,88406,Emma,Queens,Elmhurst,40.50952,-73.81317,Entire Home/Apt,120.0,5.0,119.0,,6.83,5.0,0,0.0136986301369863,0.0,Mid-range
490,Unknown,78189,Maria,Staten Island,Stapleton,40.64543,-73.97826,Entire Home/Apt,159.0,1.0,342.0,,3.32,17.0,185,0.0027397260273972603,0.5068493150684932,High
749,Cozy apartment near park,66717,Robert,Bronx,Fordham,40.55802,-73.96334,Shared Room,470.0,1.0,293.0,,3.97,18.0,214,0.0027397260273972603,0.5863013698630137,Luxury
687,Sunny room in the heart of NYC,14582,Unknown,Bronx,Concourse,40.78467,-73.73412,Private Room,131.0,7.0,134.0,2013-11-12,3.54,10.0,68,0.019178082191780823,0.1863013698630137,Mid-range
656,Unknown,32868,Sofia,Manhattan,Chelsea,40.81637,-73.96973,Shared Room,42.0,73.5,378.0,,4.41,6.0,140,0.20136986301369864,0.3835616438356164,Budget
390,Quiet private room,16818,Emma,Staten Island,Tompkinsville,40.64351,-73.99568,Private Room,54.0,1.0,89.0,,3.38,18.0,58,0.0027397260273972603,0.1589041095890411,Budget
495,Sunny room in the heart of NYC,49380,Sofia,Manhattan,Harlem,40.55319,-73.75065,Entire Home/Apt,482.0,1.0,328.0,,0.02,11.0,177,0.0027397260273972603,0.4849315068493151,Luxury
707,Quiet private room,58741,Unknown,Queens,Flushing,40.65201,-73.72127,Entire Home/Apt,359.0,73.5,32.0,,3.37,3.0,224,0.20136986301369864,0.6136986301369863,Luxury
396,Cozy apartment near park,84320,John,Queens,Long Island City,40.79004,-73.80398,Shared Room,305.0,1.0,266.0,2019-07-05,5.12,6.0,159,0.0027397260273972603,0.43561643835616437,Luxury
954,Beautiful loft,64632,David,Staten Island,Stapleton,40.58451,-74.0456,Shared Room,57.0,30.0,90.0,,3.29,17.0,388,0.0821917808219178,1.063013698630137,Budget
221,Modern studio,30269,David,Brooklyn,Kensington,40.73156,-73.79232,Private Room,45.0,2.0,18.0,,0.0,19.0,76,0.005479452054794521,0.20821917808219179,Budget
260,Unknown,82962,Sofia,Bronx,Fordham,40.58636,-73.89221,Entire Home/Apt,185.0,1.0,371.0,,1.94,6.0,336,0.0027397260273972603,0.9205479452054794,High
627,Beautiful loft,56277,Michael,Manhattan,East Village,40.53714,-73.94637,Private Room,0.0,1.0,217.0,2013-05-10,6.76,6.0,246,0.0027397260273972603,0.673972602739726,
75,Sunny room in the heart of NYC,97832,Chris,Brooklyn,Bushwick,40.55158,-73.81647,Shared Room,387.0,1.0,158.0,2019-07-21,8.13,17.0,343,0.0027397260273972603,0.9397260273972603,Luxury
